Iteration,Time_mean,Time_std,GenerateTime_mean,GenerateTime_std,EvalTime_mean,EvalTime_std,EvalAvgTime_mean,EvalAvgTime_std,SelectTime_mean,SelectTime_std,Attempts_mean,Attempts_std,Candidates_mean,Candidates_std,EstimatedGain_mean,EstimatedGain_std,UtilityScore_mean,UtilityScore_std,NBVTime_mean,NBVTime_std,Progress_mean,Progress_std,Planner_mean,Planner_std,TrajectoryLength_mean,TrajectoryLength_std,MoveTime_mean,MoveTime_std,MapUpdateTime_mean,MapUpdateTime_std,Gain_mean,Gain_std
1,0.0,0.0,471.0,72.38093671679029,167.66666666666666,15.307950004273374,20.333333333333332,2.0245884355427233,0.0,0.0,8.0,0.0,8.0,0.0,2291.0,0.0,2291.0,0.0,641.3333333333334,87.30597535869659,1.538191,0.0,0.0,0.0,0.0,0.0,1903.3333333333333,0.5773502691896093,111.33333333333333,6.110100926607789,0.0,0.0
2,4.0,0.0,506.6666666666667,32.00520790954707,186.33333333333334,15.307950004273383,22.666666666666668,1.7955384522012707,0.0,0.0,8.0,0.0,8.0,0.0,2926.0,0.0,2926.0,0.0,695.6666666666666,47.35328218121033,3.474024,0.0,0.0,0.0,0.0,0.0,1902.3333333333333,0.5773502691896093,105.66666666666667,2.516611478423585,0.0,0.0
3,8.0,0.0,516.3333333333334,52.55790457517627,204.0,8.0,24.875,1.0,0.0,0.0,8.0,0.0,8.0,0.0,3076.0,0.0,3076.0,0.0,723.0,59.15234568468101,5.846369,0.0,0.0,0.0,0.0,0.0,1902.6666666666667,0.5773502691896586,111.0,5.0,0.0,0.0
4,12.0,0.0,563.0,109.82258419833327,204.66666666666666,8.082903768654758,24.916666666666668,1.127312438205724,0.0,0.0,8.0,0.0,8.0,0.0,2920.6666666666665,0.5773502691895601,2920.6666666666665,0.5773502691895601,769.3333333333334,117.62794452566676,8.237693,0.0,0.0,0.0,0.0,0.0,1902.6666666666667,0.5773502691896586,107.0,2.0,0.0,0.0
5,16.0,0.0,531.6666666666666,72.3970533470343,217.66666666666666,12.741009902410925,26.583333333333332,1.5926262378013656,0.0,0.0,8.0,0.0,8.0,0.0,2743.6666666666665,1.5275252316518846,2743.6666666666665,1.5275252316518846,751.6666666666666,83.93648392286474,10.021697,0.0,0.0,0.0,0.0,0.0,1902.3333333333333,0.5773502691896586,108.0,3.4641016151377544,0.0,0.0
6,20.333333333333332,0.5773502691896255,569.6666666666666,90.1683610438458,223.33333333333334,10.016652800877816,27.291666666666668,1.252081600109727,0.0,0.0,8.0,0.0,8.0,0.0,3062.0,3.0,3062.0,3.0,795.0,100.17983829094555,14.30457,0.010956953408680041,0.0,0.0,0.0,0.0,1902.0,0.0,109.33333333333333,4.725815626252606,0.0,0.0
7,24.333333333333332,1.154700538379251,543.3333333333334,63.34298172120835,224.66666666666666,9.451631252505212,27.5,1.1110243021644486,0.0,0.0,8.0,0.0,8.0,0.0,3191.3333333333335,0.5773502691896586,3191.3333333333335,0.5773502691896586,770.0,72.19418259112018,18.536833666666666,0.02191506151790093,0.0,0.0,0.0,0.0,1902.3333333333333,0.5773502691896586,109.66666666666667,2.516611478423585,0.0,0.0
8,28.333333333333332,1.154700538379251,544.6666666666666,91.30899919139038,135.0,9.0,26.400000000000002,1.708800749063506,0.0,0.0,8.0,0.0,5.0,0.0,2910.0,3.0,2910.0,3.0,681.0,98.92926766129425,21.896074666666667,0.01095753075895085,0.0,0.0,0.0,0.0,1902.3333333333333,0.5773502691896093,110.33333333333333,4.725815626252606,0.0,0.0
9,31.666666666666668,0.5773502691896263,634.0,72.58098924649622,51.666666666666664,4.163331998932264,25.333333333333332,2.081665999466132,0.0,0.0,8.0,0.0,2.0,0.0,84.66666666666667,0.5773502691896247,84.66666666666667,0.5773502691896247,686.3333333333334,76.91770494062688,24.856760666666663,0.01095753075895085,0.0,0.0,0.0,0.0,1903.0,0.0,111.33333333333333,7.637626158259732,0.0,0.0
10,35.333333333333336,1.1547005383792526,572.0,65.09224224129939,159.66666666666666,8.386497083606079,26.05555533333333,1.493814512011558,0.0,0.0,8.0,0.0,6.0,0.0,2483.6666666666665,0.5773502691896586,2483.6666666666665,0.5773502691896586,733.0,73.53230582539895,25.084506,0.010956953408680555,0.0,0.0,0.0,0.0,1902.0,0.0,112.66666666666667,5.507570547286104,0.0,0.0
11,39.333333333333336,1.1547005383792526,650.6666666666666,76.79409699536372,55.666666666666664,3.214550253664317,27.333333333333332,1.6072751268321586,0.0,0.0,8.0,0.0,2.0,0.0,253.33333333333334,2.0816659994661317,253.33333333333334,2.0816659994661317,708.0,80.55432949258531,29.67104,0.01095695340867953,0.0,0.0,0.0,0.0,1902.3333333333333,1.154700538379268,112.66666666666667,2.516611478423585,0.0,0.0
12,43.333333333333336,1.1547005383792526,582.3333333333334,71.44461724534142,165.33333333333334,4.509249752822898,26.888889000000002,0.7515416501112892,0.0,0.0,8.0,0.0,6.0,0.0,2717.3333333333335,3.055050463303881,2717.3333333333335,3.055050463303881,749.6666666666666,75.4806818552491,30.354275333333334,0.01095753075895085,0.0,0.0,0.0,0.0,1902.3333333333333,0.5773502691896093,111.66666666666667,5.77350269189626,0.0,0.0
13,46.666666666666664,1.5275252316519456,646.6666666666666,101.52996273678687,90.66666666666667,9.01849950564579,29.555555666666663,3.0061665265226627,0.0,0.0,8.0,0.0,3.0,0.0,2083.3333333333335,1.5275252316519963,2083.3333333333335,1.5275252316519963,738.3333333333334,108.65695253104303,38.477184333333334,0.01095753075895085,0.0,0.0,0.0,0.0,1903.0,0.0,109.0,5.0,0.0,0.0
14,50.333333333333336,1.1547005383792526,611.3333333333334,76.57893531078462,122.0,8.717797887081348,30.0,2.179449471770337,0.0,0.0,8.0,0.0,4.0,0.0,3025.0,34.51086785347479,3025.0,34.51086785347479,734.6666666666666,85.23105850177699,43.746953999999995,0.018978999999996304,0.0,0.0,0.0,0.0,1902.0,0.0,114.0,6.557438524302,0.0,0.0
15,54.0,1.7320508075688772,661.0,103.11643903859365,52.333333333333336,1.1547005383792526,25.666666666666668,0.5773502691896263,0.0,0.0,8.0,0.0,2.0,0.0,2776.0,53.777318638995006,2776.0,53.777318638995006,714.3333333333334,104.27048160113839,44.177139000000004,0.028990355827415385,0.0,0.0,0.0,0.0,1902.3333333333333,0.5773502691896586,113.33333333333333,3.78593889720018,0.0,0.0
16,57.0,1.7320508075688772,613.3333333333334,54.93025881363872,50.333333333333336,0.5773502691896247,24.5,0.5,0.0,0.0,8.0,0.0,2.0,0.0,2530.0,2.6457513110645907,2530.0,2.6457513110645907,664.3333333333334,53.966038703367275,50.667875,0.028990355827415385,0.0,0.0,0.0,0.0,1902.3333333333333,0.5773502691896093,113.0,2.0,0.0,0.0
17,60.333333333333336,2.0816659994661335,550.6666666666666,102.65151403332213,177.66666666666666,5.033222956847164,24.857142999999997,0.7953951014099857,0.0,0.0,8.0,0.0,7.0,0.0,2923.3333333333335,2.0816659994661144,2923.3333333333335,2.0816659994661144,730.3333333333334,105.87413911495733,53.82467533333334,0.03287201492658328,0.0,0.0,0.0,0.0,1902.0,0.0,113.66666666666667,0.5773502691896247,0.0,0.0
18,64.0,1.7320508075688772,539.3333333333334,125.83454745551136,212.33333333333334,16.743157806499152,25.916666666666668,2.0966242709015215,0.0,0.0,8.0,0.0,8.0,0.0,1624.0,1.0,1624.0,1.0,753.6666666666666,142.4792382536253,56.74740499999999,0.032872592276852554,0.0,0.0,0.0,0.0,1902.3333333333333,0.5773502691896093,114.0,7.937253933193772,0.0,0.0
19,67.0,1.7320508075688772,570.0,54.80875842417888,100.0,4.58257569495584,24.5,0.9013878188659973,0.0,0.0,8.0,0.0,4.0,0.0,295.0,3.0,295.0,3.0,671.6666666666666,58.44940832321001,57.96837166666666,0.03950737855557107,0.0,0.0,0.0,0.0,1902.0,0.0,112.33333333333333,5.859465277082314,0.0,0.0
20,70.33333333333333,2.081665999466131,523.0,61.14736298484179,199.33333333333334,11.54700538379252,24.208333333333332,1.4912941806811062,0.0,0.0,8.0,0.0,8.0,0.0,1037.0,2.6457513110645907,1037.0,2.6457513110645907,724.3333333333334,72.61083482052342,58.08224466666667,0.03950737855557079,0.0,0.0,0.0,0.0,1902.3333333333333,0.5773502691896093,114.33333333333333,2.309401076758502,0.0,0.0
21,73.66666666666667,2.309401076758505,525.3333333333334,102.63202878893769,189.33333333333334,3.21455025366432,23.125,0.33071891388307384,0.0,0.0,8.0,0.0,8.0,0.0,1256.6666666666667,7.094598884597562,1256.6666666666667,7.094598884597562,716.0,104.09610943738484,58.347946666666665,0.03950737855557107,0.0,0.0,0.0,0.0,1052.6666666666667,0.5773502691896093,111.0,3.4641016151377544,0.0,0.0
22,75.66666666666667,2.309401076758505,503.6666666666667,62.16376221990859,184.0,9.643650760992955,22.375,1.2054563451241194,0.0,0.0,8.0,0.0,8.0,0.0,1153.0,3.0,1153.0,3.0,689.6666666666666,71.7658228778388,58.42386200000001,0.03950753868567124,0.0,0.0,0.0,0.0,1902.0,0.0,111.66666666666667,2.516611478423585,0.0,0.0
23,79.0,2.6457513110645907,9363.666666666666,2860.474844030853,233.0,22.338307903688676,22.599999999999998,2.2113344387495983,3.6666666666666665,2.5166114784235836,119.33333333333333,41.86088070422472,10.0,0.0,3780.6666666666665,1868.6760910691112,3780.6666666666665,1868.6760910691112,9603.333333333334,2855.3256089863607,58.42386200000001,0.03950753868567124,1.0,0.0,0.0,0.0,23988.333333333332,12544.03987291707,113.0,3.605551275463989,0.0,0.0
24,113.33333333333333,14.571661996262927,549.0,19.078784028338912,181.0,11.532562594670797,24.222222333333335,3.075816850252357,0.0,0.0,8.0,0.0,7.333333333333333,1.1547005383792515,1581.0,787.9524097304354,1581.0,787.9524097304354,732.0,7.54983443527075,60.73294433333333,3.1784182061411177,0.0,0.0,0.0,0.0,1619.3333333333333,491.32507908037155,118.33333333333333,6.50640709864771,0.0,0.0
25,116.33333333333333,14.189197769195173,570.0,94.44045743218317,199.66666666666666,17.00980109623077,24.25,2.222048604328897,0.0,0.0,8.0,0.0,8.0,0.0,489.0,163.69789247268884,489.0,163.69789247268884,771.6666666666666,80.78572481158619,62.18798266666667,3.331047553599974,0.0,0.0,0.0,0.0,1619.3333333333333,491.3250790803715,120.33333333333333,10.01665280087781,0.0,0.0
26,119.66666666666667,14.640127503998501,524.0,10.44030650891055,192.33333333333334,46.52239604033022,25.347222333333335,2.666775003875716,0.0,0.0,8.0,0.0,7.333333333333333,1.1547005383792517,254.33333333333334,152.31655633362163,254.33333333333334,152.31655633362163,718.3333333333334,50.52062285179521,62.441033000000004,3.4900798324449562,0.0,0.0,0.0,0.0,1619.0,490.17037854199225,111.0,5.0,0.0,0.0
27,122.33333333333333,14.571661996262927,559.3333333333334,18.770544300401447,203.0,3.605551275463989,25.958333333333332,1.8214577495328668,0.0,0.0,8.0,0.0,7.666666666666667,0.5773502691896258,302.3333333333333,196.3220143879268,302.3333333333333,196.3220143879268,764.0,20.518284528683193,62.61816833333334,3.590966860378602,0.0,0.0,0.0,0.0,1619.3333333333333,490.45930853979445,111.0,2.0,0.0,0.0
28,125.33333333333333,15.176736583776279,595.6666666666666,36.5011415346607,204.0,17.578395831246947,28.712301333333333,2.475133574428325,0.0,0.0,8.0,0.0,7.0,1.0,475.3333333333333,368.000452898272,475.3333333333333,368.000452898272,801.6666666666666,20.984120980716174,62.94713333333333,3.8341952154710772,0.0,0.0,0.0,0.0,1619.0,491.03665850932146,113.66666666666667,0.5773502691896247,0.0,0.0
29,128.66666666666666,15.631165450257802,571.6666666666666,48.43896503160789,182.0,53.50700888668698,28.458333333333332,3.192602125748421,0.0,0.0,8.0,0.0,6.333333333333333,2.081665999466133,497.6666666666667,454.1468191381872,497.6666666666667,454.1468191381872,756.3333333333334,7.023769168568491,63.586085000000004,4.604152045852095,0.0,0.0,0.0,0.0,1902.3333333333333,0.5773502691896093,113.0,3.0,0.0,0.0
30,131.66666666666666,15.631165450257802,1991.0,2574.8298972941884,196.66666666666666,30.892285984260425,24.33055566666667,2.925941792192101,1.0,0.0,30.333333333333332,38.68246803570493,8.0,2.0,1530.0,1232.4869167662591,1530.0,1232.4869167662591,2190.3333333333335,2604.7618573169666,63.832808666666665,4.89112297673166,0.3333333333333333,0.5773502691896258,0.0,0.0,3253.0,3103.626910567699,117.33333333333333,7.571877794400367,0.0,0.0
31,137.66666666666666,21.007935008784973,1879.6666666666667,2336.825268036387,183.0,73.01369734508724,24.077778,4.40155691352083,6.0,0.0,28.0,34.64101615137755,7.333333333333333,2.309401076758503,1490.6666666666667,949.215114362036,1490.6666666666667,949.215114362036,2748.5,2969.1413742023133,63.91505,4.824725603371557,0.5,0.7071067811865476,0.0,0.0,5977.5,5763.627373451549,123.0,5.656854249492381,0.0,0.0
32,148.33333333333334,18.175074506954118,552.6666666666666,37.52776749732566,176.33333333333334,35.5715241918776,25.805555666666667,2.118590698152037,0.0,0.0,8.0,0.0,6.666666666666667,1.1547005383792517,1850.3333333333333,1597.8718137990086,1850.3333333333333,1597.8718137990086,746.0,4.242640687119285,64.64889566666666,4.508497671119547,0.0,0.0,0.0,0.0,1477.5,601.7478707897519,122.5,2.1213203435596424,0.0,0.0
