Iteration,Time_mean,Time_std,GenerateTime_mean,GenerateTime_std,EvalTime_mean,EvalTime_std,EvalAvgTime_mean,EvalAvgTime_std,SelectTime_mean,SelectTime_std,Attempts_mean,Attempts_std,Candidates_mean,Candidates_std,EstimatedGain_mean,EstimatedGain_std,UtilityScore_mean,UtilityScore_std,NBVTime_mean,NBVTime_std,Progress_mean,Progress_std,Planner_mean,Planner_std,TrajectoryLength_mean,TrajectoryLength_std,MoveTime_mean,MoveTime_std,MapUpdateTime_mean,MapUpdateTime_std,Gain_mean,Gain_std
1,0.0,0.0,504.3333333333333,28.290163190291654,258.3333333333333,5.507570547286106,20.833333333333332,0.5204164998665334,0.0,0.0,12.0,0.0,12.0,0.0,1050.0,0.0,1050.0,0.0,767.0,29.0516780926679,1.538191,0.0,0.0,0.0,0.0,0.0,1202.6666666666667,0.5773502691896093,114.0,1.7320508075688772,0.0,0.0
2,3.0,0.0,540.6666666666666,10.408329997330648,258.6666666666667,1.5275252316519405,20.888889000000002,0.048112907332648155,0.0,0.0,12.0,0.0,12.0,0.0,1103.0,0.0,1103.0,0.0,803.3333333333334,8.326663997864546,2.221426,0.0,0.0,0.0,0.0,0.0,1219.3333333333333,28.290163190291697,108.0,3.605551275463989,0.0,0.0
3,7.0,0.0,523.0,46.357307945997036,282.3333333333333,6.110100926607785,22.805555666666667,0.473853020656546,0.0,0.0,12.0,0.0,12.0,0.0,1001.0,0.0,1001.0,0.0,808.3333333333334,46.45786621588786,3.417088,0.0,0.0,0.0,0.0,0.0,1202.0,0.0,112.66666666666667,2.516611478423585,0.0,0.0
4,10.666666666666666,0.5773502691896255,544.0,13.228756555322953,295.6666666666667,3.214550253664313,23.916666333333335,0.28867513459481314,0.0,0.0,12.0,0.0,12.0,0.0,1102.3333333333333,4.041451884327364,1102.3333333333333,4.041451884327364,842.0,10.14889156509222,4.385005,0.0,0.0,0.0,0.0,0.0,1202.3333333333333,0.5773502691896093,110.66666666666667,1.5275252316519463,0.0,0.0
5,14.333333333333334,0.5773502691896258,515.0,39.1279950930277,321.6666666666667,22.810816147900834,26.055555666666667,1.900901245803247,0.0,0.0,12.0,0.0,12.0,0.0,930.3333333333334,0.577350269189634,930.3333333333334,0.577350269189634,839.0,17.05872210923198,5.239049,0.0,0.0,0.0,0.0,0.0,1203.0,0.0,113.33333333333333,3.214550253664317,0.0,0.0
6,18.0,0.0,539.6666666666666,21.93931022920577,319.3333333333333,8.50490054811539,26.0,0.7406825493347329,0.0,0.0,12.0,0.0,12.0,0.0,1104.0,0.0,1104.0,0.0,862.0,20.663978319771825,5.846369,0.0,0.0,0.0,0.0,0.0,1219.0,28.583211855912904,114.66666666666667,2.0816659994661335,0.0,0.0
7,21.666666666666668,0.5773502691896263,517.3333333333334,10.785793124908974,305.3333333333333,21.221058723196013,24.777777666666665,1.7105341812385206,0.0,0.0,12.0,0.0,12.0,0.0,1250.0,0.0,1250.0,0.0,825.0,12.529964086141668,6.460016,0.04382954568553061,0.0,0.0,0.0,0.0,1235.6666666666667,29.160475533388208,116.66666666666667,4.93288286231625,0.0,0.0
8,25.333333333333332,0.5773502691896255,545.6666666666666,33.84277372399214,280.3333333333333,3.7859388972001873,22.777777666666665,0.3367872996200022,0.0,0.0,12.0,0.0,12.0,0.0,1253.0,0.0,1253.0,0.0,828.6666666666666,29.569128044860108,7.029378333333334,0.01095753075894976,0.0,0.0,0.0,0.0,1218.6666666666667,28.867513459481305,115.0,2.6457513110645907,0.0,0.0
9,29.0,0.0,522.0,18.734993995195193,277.3333333333333,1.5275252316519545,22.555555666666667,0.09622523731502704,0.0,0.0,12.0,0.0,12.0,0.0,1000.0,0.0,1000.0,0.0,802.3333333333334,19.655363983740752,7.750571333333333,0.01095753075894976,0.0,0.0,0.0,0.0,1219.3333333333333,28.290163190291644,114.66666666666667,1.5275252316519485,0.0,0.0
10,32.666666666666664,0.5773502691896247,546.6666666666666,14.571661996262925,263.6666666666667,3.7859388972001855,21.333333333333332,0.36324161686449485,0.0,0.0,12.0,0.0,12.0,0.0,1050.0,0.0,1050.0,0.0,813.3333333333334,11.846237095944582,8.471764333333335,0.010957530758949056,0.0,0.0,0.0,0.0,1202.0,0.0,112.0,3.0,0.0,0.0
11,36.0,0.0,515.3333333333334,26.76440422152777,273.0,16.0,22.083333333333332,1.2104862544541068,0.0,0.0,12.0,0.0,12.0,0.0,955.0,0.0,955.0,0.0,792.0,42.720018726587654,9.477638333333333,0.010957530758949056,0.0,0.0,0.0,0.0,1202.0,1.0,114.33333333333333,0.5773502691896247,0.0,0.0
12,39.666666666666664,0.5773502691896247,525.6666666666666,37.31398308052002,286.3333333333333,7.505553499465135,23.250000333333332,0.6291528696058958,0.0,0.0,12.0,0.0,12.0,0.0,1001.0,0.0,1001.0,0.0,815.0,42.790185790669334,10.730237,0.010956953408680938,0.0,0.0,0.0,0.0,1202.3333333333333,0.5773502691896586,112.33333333333333,5.686240703077328,0.0,0.0
13,43.0,0.0,519.3333333333334,27.06165799305972,299.0,13.0,24.222222333333335,1.0352582697980897,0.0,0.0,12.0,0.0,12.0,0.0,1106.6666666666667,11.547005383792532,1106.6666666666667,11.547005383792532,821.6666666666666,37.018013633004855,11.717132333333334,0.010957530758949056,0.0,0.0,0.0,0.0,1219.3333333333333,29.160475533388258,111.33333333333333,6.110100926607789,0.0,0.0
14,46.666666666666664,0.5773502691896247,565.0,16.64331697709324,312.0,9.0,25.333333,0.75,0.0,0.0,12.0,0.0,12.0,0.0,930.0,1.0,930.0,1.0,879.3333333333334,10.598742063723094,12.590155333333334,0.010957530758949056,0.0,0.0,0.0,0.0,1252.6666666666667,0.5773502691896586,114.0,3.0,0.0,0.0
