Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime
240,550.000000,216.000000,35.500000,-1,8,6,469.000000,469.000000,768.000000,43,83.981926,0,-1,1904.000000,124.000000
243,555.000000,79.000000,38.500000,-1,8,2,54.000000,54.000000,635.000000,44,84.000905,0,-1,1902.000000,126.000000
246,9715.000000,273.000000,33.250000,-1,8,8,2221.000000,2221.000000,9991.000000,45,84.000905,0,-1,8304.000000,126.000000
284,499.000000,257.000000,31.500000,-1,8,8,360.000000,360.000000,758.000000,46,86.088569,0,-1,1903.000000,128.000000
288,26514.000000,253.000000,22.454545,0.000000,238,11,1871.000000,1871.000000,26770.000000,47,86.107547,1,-1,5604.000000,129.000000
322,479.000000,179.000000,21.625000,-1,8,8,609.000000,609.000000,661.000000,48,87.075464,0,-1,1903.000000,122.000000
325,439.000000,201.000000,24.625000,-1,8,8,888.000000,888.000000,643.000000,49,87.606869,0,-1,1903.000000,124.000000
328,438.000000,187.000000,22.500000,-1,8,8,567.000000,567.000000,627.000000,50,88.252147,0,-1,1902.000000,130.000000
331,436.000000,179.000000,21.500000,-1,8,8,610.000000,610.000000,617.000000,51,88.840489,0,-1,1052.000000,125.000000
333,434.000000,184.000000,22.125000,-1,8,8,680.000000,680.000000,620.000000,52,89.466788,0,-1,1053.000000,126.000000
335,470.000000,198.000000,24.125000,-1,8,8,466.000000,466.000000,671.000000,53,90.055130,0,-1,1053.000000,135.000000
337,419.000000,181.000000,25.000000,-1,8,7,83.000000,83.000000,602.000000,54,90.586535,0,-1,1902.000000,129.000000
340,471.000000,208.000000,25.250000,-1,8,8,51.000000,51.000000,681.000000,55,90.890195,0,-1,1053.000000,132.000000
342,13854.000000,262.000000,23.181818,0.000000,128,11,656.000000,656.000000,14119.000000,56,90.928152,1,-1,5204.000000,125.000000
363,1366.000000,133.000000,21.666667,-1,8,6,56.000000,56.000000,1501.000000,57,90.928152,0,-1,1454.000000,125.000000
392,41516.000000,311.000000,25.333333,0.000000,368,12,639.000000,639.000000,41831.000000,58,90.928152,1,-1,3954.000000,132.000000
438,42239.000000,314.000000,23.538462,0.000000,372,13,151.000000,151.000000,42557.000000,59,92.123814,1,-1,8403.000000,126.000000
517,19723.000000,285.000000,23.083333,0.000000,176,12,46.000000,46.000000,20012.000000,60,92.123814,1,-1,2703.000000,128.000000
540,567.000000,176.000000,28.666667,-1,8,6,32.000000,32.000000,745.000000,61,92.484411,0,-1,1903.000000,128.000000
543,34376.000000,282.000000,24.909091,0.000000,300,11,18.000000,18.000000,34660.000000,62,92.579305,1,-1,4553.000000,124.000000
584,39008.000000,313.000000,25.416667,0.000000,335,12,1.000000,1.000000,39324.000000,63,92.579305,1,-1,4003.000000,124.000000
