Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime
204,8016.000000,113.000000,22.200000,-1,8,5,1183.000000,1183.000000,8131.000000,43,77.851787,0,-1,7153.000000,119.000000
238,442.000000,174.000000,21.125000,-1,8,8,2337.000000,2337.000000,618.000000,44,78.136468,0,-1,1902.000000,124.000000
241,465.000000,198.000000,24.125000,-1,8,8,2861.000000,2861.000000,666.000000,45,79.483960,0,-1,1902.000000,132.000000
245,468.000000,212.000000,25.625000,-1,8,8,820.000000,820.000000,681.000000,46,81.457751,0,-1,1902.000000,134.000000
248,507.000000,235.000000,28.625000,-1,8,8,444.000000,444.000000,744.000000,47,82.273838,0,-1,1902.000000,123.000000
251,488.000000,219.000000,26.875000,-1,8,8,601.000000,601.000000,710.000000,48,82.900137,0,-1,1903.000000,124.000000
254,552.000000,223.000000,27.125000,-1,8,8,905.000000,905.000000,777.000000,49,83.906011,0,-1,1903.000000,125.000000
257,2578.000000,219.000000,26.875000,-1,8,8,86.000000,86.000000,2799.000000,50,84.608225,0,-1,2453.000000,126.000000
327,518.000000,226.000000,27.500000,-1,8,8,3.000000,3.000000,746.000000,51,85.272482,0,-1,1902.000000,132.000000
330,559.000000,230.000000,28.125000,-1,8,8,85.000000,85.000000,792.000000,52,85.576142,0,-1,1903.000000,125.000000
333,488.000000,226.000000,27.500000,-1,8,8,179.000000,179.000000,716.000000,53,86.031632,0,-1,1904.000000,127.000000
337,474.000000,219.000000,27.000000,-1,8,8,132.000000,132.000000,695.000000,54,86.373250,0,-1,1903.000000,126.000000
340,458.000000,210.000000,25.625000,-1,8,8,35.000000,35.000000,670.000000,55,86.847719,0,-1,1053.000000,124.000000
342,485.000000,211.000000,25.750000,-1,8,8,5.000000,5.000000,699.000000,56,86.866698,0,-1,1903.000000,130.000000
345,465.000000,206.000000,25.125000,-1,8,8,167.000000,167.000000,673.000000,57,87.303209,0,-1,1903.000000,125.000000
348,5290.000000,137.000000,26.800000,0.000000,48,5,514.000000,514.000000,5429.000000,58,87.360146,1,-1,4803.000000,122.000000
424,3301.000000,193.000000,31.333333,-1,8,6,578.000000,578.000000,3496.000000,59,87.360146,0,-1,2203.000000,131.000000
446,978.000000,254.000000,31.250000,-1,8,8,295.000000,295.000000,1235.000000,60,87.606869,0,-1,952.000000,127.000000
462,5448.000000,139.000000,27.200000,0.000000,48,5,551.000000,551.000000,5588.000000,61,87.663806,1,-1,9903.000000,130.000000
480,482.000000,158.000000,25.833333,-1,8,6,332.000000,332.000000,641.000000,62,88.517850,0,-1,1903.000000,128.000000
483,518.000000,106.000000,25.750000,-1,8,4,8.000000,8.000000,625.000000,63,89.182107,0,-1,1903.000000,126.000000
486,8004.000000,134.000000,26.200000,0.000000,70,5,546.000000,546.000000,8139.000000,64,89.182107,1,-1,4153.000000,140.000000
536,512.000000,201.000000,28.285714,-1,8,7,280.000000,280.000000,715.000000,65,90.358790,0,-1,1053.000000,130.000000
538,483.000000,226.000000,27.500000,-1,8,8,328.000000,328.000000,711.000000,66,91.023046,0,-1,1053.000000,130.000000
541,6935.000000,160.000000,25.833333,0.000000,60,6,1033.000000,1033.000000,7096.000000,67,91.421600,1,-1,2904.000000,128.000000
552,531.000000,128.000000,25.000000,-1,8,5,17.000000,17.000000,661.000000,68,94.723905,0,-1,1052.000000,132.000000
