Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime-1731323918,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,438.000000,190.000000,23.125000,-1,8,8,2291.000000,2291.000000,631.000000,1,1.538191,0,-1,1902.000000,118.000000
4,493.000000,201.000000,24.375000,-1,8,8,2923.000000,2923.000000,697.000000,2,3.474024,0,-1,1904.000000,120.000000
8,478.000000,219.000000,26.625000,-1,8,8,3076.000000,3076.000000,700.000000,3,5.846369,0,-1,1902.000000,116.000000
12,481.000000,250.000000,30.500000,-1,8,8,2919.000000,2919.000000,733.000000,4,8.237693,0,-1,1903.000000,123.000000
17,552.000000,267.000000,32.875000,-1,8,8,2742.000000,2742.000000,821.000000,5,10.021697,0,-1,1902.000000,122.000000
21,537.000000,259.000000,31.750000,-1,8,8,3063.000000,3063.000000,798.000000,6,14.291918,0,-1,1902.000000,116.000000
25,529.000000,251.000000,30.750000,-1,8,8,3191.000000,3191.000000,782.000000,7,18.524181,0,-1,1903.000000,118.000000
29,546.000000,148.000000,28.800000,-1,8,5,2912.000000,2912.000000,696.000000,8,21.883422,0,-1,1903.000000,117.000000
33,604.000000,61.000000,29.500000,-1,8,2,85.000000,85.000000,666.000000,9,24.844108,0,-1,1902.000000,117.000000
37,613.000000,175.000000,28.666667,-1,8,6,2484.000000,2484.000000,790.000000,10,25.071854,0,-1,1903.000000,119.000000
41,616.000000,58.000000,28.500000,-1,8,2,252.000000,252.000000,675.000000,11,29.645735,0,-1,1903.000000,117.000000
44,602.000000,190.000000,30.833333,-1,8,6,2713.000000,2713.000000,794.000000,12,30.328970,0,-1,1902.000000,116.000000
48,588.000000,95.000000,31.000000,-1,8,3,2084.000000,2084.000000,685.000000,13,38.432901,0,-1,1902.000000,128.000000
52,572.000000,140.000000,34.500000,-1,8,4,3058.000000,3058.000000,713.000000,14,43.746954,0,-1,1903.000000,115.000000
55,601.000000,56.000000,27.500000,-1,8,2,2809.000000,2809.000000,658.000000,15,44.164487,0,-1,1903.000000,117.000000
59,601.000000,57.000000,28.000000,-1,8,2,2533.000000,2533.000000,659.000000,16,50.655223,0,-1,1902.000000,118.000000
62,567.000000,199.000000,27.714286,-1,8,7,2921.000000,2921.000000,768.000000,17,53.805697,0,-1,1903.000000,118.000000
65,493.000000,221.000000,27.000000,-1,8,8,1624.000000,1624.000000,717.000000,18,56.728426,0,-1,1903.000000,118.000000
69,562.000000,103.000000,25.250000,-1,8,4,296.000000,296.000000,666.000000,19,57.943067,0,-1,1903.000000,116.000000
72,512.000000,211.000000,25.875000,-1,8,8,1048.000000,1048.000000,725.000000,20,58.056939,0,-1,1903.000000,112.000000
75,519.000000,202.000000,24.750000,-1,8,8,1275.000000,1275.000000,724.000000,21,58.322642,0,-1,1052.000000,132.000000
78,498.000000,206.000000,25.000000,-1,8,8,1157.000000,1157.000000,706.000000,22,58.398557,0,-1,1903.000000,113.000000
81,1998.000000,155.000000,30.000000,0.000000,15,5,4404.000000,4404.000000,2155.000000,23,58.398557,1,-1,9303.000000,136.000000
93,503.000000,236.000000,29.125000,-1,8,8,1018.000000,1018.000000,742.000000,24,61.738819,0,-1,1902.000000,117.000000
96,488.000000,213.000000,26.125000,-1,8,8,1228.000000,1228.000000,703.000000,25,62.763672,0,-1,1902.000000,119.000000
100,502.000000,218.000000,26.500000,-1,8,8,1759.000000,1759.000000,722.000000,26,64.111164,0,-1,1902.000000,118.000000
103,484.000000,222.000000,27.000000,-1,8,8,2050.000000,2050.000000,708.000000,27,66.483509,0,-1,1902.000000,116.000000
106,560.000000,233.000000,28.375000,-1,8,8,1523.000000,1523.000000,795.000000,28,68.457300,0,-1,1902.000000,120.000000
109,552.000000,253.000000,31.000000,-1,8,8,259.000000,259.000000,807.000000,29,69.368281,0,-1,1903.000000,122.000000
113,1549.000000,209.000000,25.500000,-1,8,8,4768.000000,4768.000000,1760.000000,30,69.425217,0,-1,1903.000000,116.000000
138,479.000000,211.000000,25.625000,-1,8,8,537.000000,537.000000,693.000000,31,71.493902,0,-1,1902.000000,119.000000
141,463.000000,190.000000,23.125000,-1,8,8,356.000000,356.000000,655.000000,32,72.385903,0,-1,1902.000000,124.000000
145,422.000000,197.000000,24.000000,-1,8,8,369.000000,369.000000,621.000000,33,73.277905,0,-1,1903.000000,117.000000
148,464.000000,200.000000,24.500000,-1,8,8,940.000000,940.000000,666.000000,34,74.397652,0,-1,1903.000000,125.000000
151,454.000000,178.000000,21.375000,-1,8,8,495.000000,495.000000,633.000000,35,76.409401,0,-1,1902.000000,120.000000
154,454.000000,179.000000,21.625000,-1,8,8,347.000000,347.000000,634.000000,36,78.193404,0,-1,1902.000000,119.000000
157,510.000000,195.000000,23.625000,-1,8,8,332.000000,332.000000,707.000000,37,79.294172,0,-1,1903.000000,123.000000
160,517.000000,121.000000,23.600000,-1,8,5,902.000000,902.000000,639.000000,38,81.970178,0,-1,1902.000000,120.000000
163,517.000000,116.000000,28.250000,-1,8,4,489.000000,489.000000,634.000000,39,83.336648,0,-1,1053.000000,121.000000
165,456.000000,108.000000,26.250000,-1,8,4,775.000000,775.000000,565.000000,40,84.247629,0,-1,1053.000000,116.000000
167,447.000000,162.000000,26.500000,-1,8,6,895.000000,895.000000,612.000000,41,85.462269,0,-1,1903.000000,118.000000
