Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime
497,9592.000000,1005.000000,99.300000,0.000000,86,10,4987.000000,4987.000000,10604.000000,42,84.456395,1,-1,7860.000000,532.000000
521,1139.000000,194.000000,96.500000,-1,8,2,1170.000000,1170.000000,1336.000000,43,87.170358,0,-1,1058.000000,494.000000
525,1162.000000,299.000000,73.500000,-1,8,4,414.000000,414.000000,1463.000000,44,87.625848,0,-1,1057.000000,495.000000
529,1488.000000,545.000000,89.833333,-1,8,6,893.000000,893.000000,2039.000000,45,87.948487,0,-1,1908.000000,573.000000
535,7295.000000,1048.000000,103.500000,7.000000,55,10,350.000000,350.000000,8361.000000,46,90.871216,1,-1,4307.000000,470.000000
551,1285.000000,245.000000,80.000000,-1,8,3,788.000000,788.000000,1534.000000,47,91.744239,0,-1,1057.000000,472.000000
556,1667.000000,598.000000,118.800000,-1,8,5,418.000000,418.000000,2270.000000,48,92.560326,0,-1,1909.000000,469.000000
562,12397.000000,1141.000000,112.900000,4.000000,86,10,246.000000,246.000000,13549.000000,49,92.807050,1,-1,3210.000000,560.000000
597,8152.000000,1357.000000,134.500000,4.000000,60,10,124.000000,124.000000,9520.000000,50,93.395391,1,-1,9809.000000,580.000000
621,1734.000000,763.000000,125.333333,-1,8,6,481.000000,481.000000,2503.000000,51,93.490285,0,-1,1909.000000,528.000000
628,2018.000000,582.000000,95.833333,-1,8,6,41.000000,41.000000,2604.000000,52,94.059648,0,-1,1059.000000,511.000000
686,1549.000000,662.000000,109.000000,-1,8,6,577.000000,577.000000,2218.000000,53,94.306372,0,-1,1907.000000,631.000000
