Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime,Gain
203,386.000000,202.000000,24.625000,-1,8,8,555.000000,555.000000,590.000000,40,81.932220,0,0.000000,1902.000000,124.000000,-1
206,398.000000,166.000000,27.000000,-1,8,6,565.000000,565.000000,566.000000,41,82.862179,0,0.000000,1904.000000,116.000000,-1
209,441.000000,163.000000,26.500000,-1,8,6,32.000000,32.000000,605.000000,42,83.659287,0,0.000000,1902.000000,118.000000,-1
212,2762.000000,139.000000,34.000000,0.000000,22,4,708.000000,-1,2903.000000,43,83.924990,1,3.402332,6002.000000,117.000000,-1
225,568.000000,161.000000,39.500000,-1,8,4,533.000000,533.000000,730.000000,44,84.228650,0,0.000000,1052.000000,118.000000,-1
227,449.000000,196.000000,38.600000,-1,8,5,411.000000,411.000000,646.000000,45,84.570268,0,0.000000,1052.000000,116.000000,-1
229,445.000000,222.000000,36.333333,-1,8,6,328.000000,328.000000,669.000000,46,85.310439,0,0.000000,1902.000000,120.000000,-1
232,325.000000,302.000000,37.250000,-1,8,8,247.000000,247.000000,629.000000,47,85.557163,0,0.000000,1903.000000,120.000000,-1
236,334.000000,293.000000,36.000000,-1,8,8,368.000000,368.000000,629.000000,48,85.879802,0,0.000000,1052.000000,118.000000,-1
238,378.000000,283.000000,34.625000,-1,8,8,96.000000,96.000000,663.000000,49,86.202441,0,0.000000,1902.000000,120.000000,-1
241,342.000000,296.000000,36.500000,-1,8,8,114.000000,114.000000,640.000000,50,86.221420,0,0.000000,1903.000000,121.000000,-1
244,12731.000000,118.000000,28.750000,0.000000,104,4,147.000000,-1,12850.000000,51,86.221420,1,2.980834,4202.000000,121.000000,0.000000
262,6152.000000,110.000000,26.750000,0.000000,49,4,915.000000,-1,6263.000000,52,86.278356,1,19.263236,19105.000000,127.000000,-1
306,8362.000000,83.000000,20.000000,0.000000,70,4,2238.000000,-1,8447.000000,53,87.777678,1,2.797682,5153.000000,120.000000,-1
333,381.000000,165.000000,22.857143,-1,8,7,247.000000,247.000000,548.000000,54,89.808406,0,0.000000,1052.000000,124.000000,-1
335,355.000000,155.000000,21.571429,-1,8,7,266.000000,266.000000,512.000000,55,90.150023,0,0.000000,1902.000000,122.000000,-1
338,472.000000,106.000000,20.600000,-1,8,5,304.000000,304.000000,580.000000,56,91.744239,0,0.000000,1053.000000,119.000000,-1
340,392.000000,124.000000,20.333333,-1,8,6,297.000000,297.000000,518.000000,57,92.977859,0,0.000000,1053.000000,121.000000,-1
342,426.000000,123.000000,20.166667,-1,8,6,141.000000,141.000000,552.000000,58,93.186625,0,0.000000,1053.000000,121.000000,-1
344,4982.000000,105.000000,25.500000,0.000000,42,4,91.000000,-1,5088.000000,59,93.319476,1,3.303405,6103.000000,127.000000,-1
402,455.000000,68.000000,22.333333,-1,8,3,326.000000,326.000000,524.000000,60,93.623136,0,0.000000,1902.000000,125.000000,-1
405,8723.000000,89.000000,21.750000,0.000000,70,4,1747.000000,-1,8813.000000,61,94.097605,1,1.466014,2203.000000,117.000000,-1
