Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime,Gain
197,511.000000,301.000000,24.416667,0.000000,12,12,1002.000000,1002.000000,815.000000,39,38.717582,0,0.000000,1202.000000,119.000000,-1
200,567.000000,342.000000,27.750000,0.000000,12,12,1011.000000,1011.000000,912.000000,40,39.970181,0,0.000000,503.000000,112.000000,-1
202,540.000000,325.000000,26.333333,0.000000,12,12,914.000000,914.000000,868.000000,41,40.216904,0,0.000000,52.000000,123.000000,-1
204,573.000000,325.000000,26.416667,0.000000,12,12,899.000000,899.000000,901.000000,42,40.235883,0,0.000000,52.000000,122.000000,-1
206,-1,3016.000000,22.219697,0.000000,-1,132,4924.000000,1432.004898,14741.000000,43,40.235883,1,3.438536,4103.000000,117.000000,0.000000
226,570.000000,273.000000,22.000000,0.000000,12,12,350.000000,350.000000,846.000000,44,43.974699,0,0.000000,1203.000000,113.000000,-1
229,514.000000,262.000000,21.166667,0.000000,12,12,330.000000,330.000000,780.000000,45,44.430189,0,0.000000,1202.000000,112.000000,-1
232,643.000000,269.000000,22.000000,0.000000,12,12,326.000000,326.000000,914.000000,46,45.246276,0,0.000000,1253.000000,113.000000,-1
235,562.000000,264.000000,21.333333,0.000000,12,12,267.000000,267.000000,829.000000,47,46.005426,0,0.000000,1203.000000,122.000000,-1
237,573.000000,275.000000,22.250000,0.000000,12,12,230.000000,230.000000,852.000000,48,46.726619,0,0.000000,1253.000000,125.000000,-1
240,586.000000,278.000000,22.500000,0.000000,12,12,214.000000,214.000000,866.000000,49,47.409855,0,0.000000,1253.000000,123.000000,-1
243,606.000000,274.000000,22.083333,0.000000,12,12,236.000000,236.000000,883.000000,50,48.093090,0,0.000000,503.000000,120.000000,-1
245,553.000000,279.000000,22.666667,0.000000,12,12,185.000000,185.000000,835.000000,51,48.206963,0,0.000000,52.000000,111.000000,-1
