Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime,Gain,ClusterTime,NbvMemory
0,384.000000,185.000000,22.625000,4.000000,8,8,2623.000000,2623.000000,569.000000,1,16.705470,0,-1.06934,655.000000,127.000000,2.090840,-1,0
2,357.000000,176.000000,21.500000,1.000000,8,8,1498.000000,1498.000000,533.000000,2,17.666126,0,-0.0832171,704.000000,113.000000,0.960656,-1,0
3,367.000000,173.000000,21.000000,2.000000,8,8,2071.000000,2071.000000,540.000000,3,20.689367,0,0.860588,652.000000,120.000000,3.023241,-1,0
5,375.000000,175.000000,21.375000,2.000000,8,8,3418.000000,3418.000000,550.000000,4,23.062752,0,1.54145,603.000000,124.000000,2.373386,-1,0
7,378.000000,187.000000,23.000000,2.000000,8,8,2673.000000,2673.000000,565.000000,5,24.447227,0,2.5203,602.000000,122.000000,1.384475,-1,0
8,401.000000,185.000000,22.750000,2.000000,8,8,2374.000000,2374.000000,586.000000,6,25.718684,0,3.64036,752.000000,123.000000,1.271457,-1,0
10,411.000000,168.000000,23.571429,2.000000,8,7,3469.000000,3469.000000,579.000000,7,27.103159,0,4.76552,654.000000,122.000000,1.384475,-1,0
12,405.000000,188.000000,23.125000,3.000000,8,8,2103.000000,2103.000000,594.000000,8,31.736911,0,5.73764,601.000000,122.000000,4.633753,-1,0
13,572.000000,105.000000,25.500000,1.000000,8,4,2167.000000,2167.000000,677.000000,9,35.579536,0,6.43242,605.000000,126.000000,3.842624,-1,0
15,514.000000,100.000000,24.750000,2.000000,8,4,3623.000000,3623.000000,615.000000,10,40.128524,0,7.45039,654.000000,132.000000,4.548989,-1,0
17,550.000000,106.000000,26.500000,2.000000,8,4,2865.000000,2865.000000,657.000000,11,45.016568,0,8.53568,653.000000,131.000000,4.888044,-1,0
19,586.000000,54.000000,27.000000,1.000000,8,2,75.000000,75.000000,641.000000,12,45.327369,0,9.25238,602.000000,130.000000,0.310800,-1,0
20,467.000000,153.000000,25.166667,3.000000,8,6,1870.000000,1870.000000,621.000000,13,51.176069,0,10.3343,653.000000,136.000000,5.848700,-1,0
22,519.000000,109.000000,27.000000,1.000000,8,4,122.000000,122.000000,628.000000,14,51.656397,0,11.37,703.000000,137.000000,0.480328,-1,0
24,437.000000,162.000000,26.500000,1.000000,8,6,1942.000000,1942.000000,599.000000,15,54.962184,0,12.4819,602.000000,140.000000,3.305787,-1,0
26,666.000000,85.000000,28.000000,2.000000,8,3,579.000000,579.000000,752.000000,16,55.301239,0,21.5117,2603.000000,140.000000,0.339055,-1,0
30,642.000000,59.000000,29.000000,1.000000,8,2,153.000000,153.000000,701.000000,17,55.527276,0,22.0147,452.000000,134.000000,0.226037,-1,0
31,609.000000,83.000000,27.333333,1.000000,8,3,709.000000,709.000000,692.000000,18,57.505097,0,22.9012,602.000000,134.000000,1.977821,-1,0
33,491.000000,162.000000,26.666667,3.000000,8,6,865.000000,865.000000,654.000000,19,59.059100,0,23.8021,604.000000,141.000000,1.554002,-1,0
35,644.000000,54.000000,27.000000,1.000000,8,2,166.000000,166.000000,699.000000,20,59.511173,0,24.4076,502.000000,139.000000,0.452073,-1,0
36,428.000000,157.000000,25.666667,4.000000,8,6,745.000000,745.000000,585.000000,21,60.471829,0,25.4273,603.000000,140.000000,0.960656,-1,0
38,424.000000,148.000000,24.333333,3.000000,8,6,599.000000,599.000000,573.000000,22,60.952157,0,26.4875,605.000000,146.000000,0.480328,-1,0
40,573.000000,98.000000,23.750000,3.000000,8,4,345.000000,345.000000,671.000000,23,61.602013,0,27.3674,603.000000,145.000000,0.649856,-1,0
42,437.000000,145.000000,23.666667,1.000000,8,6,957.000000,957.000000,583.000000,24,62.929978,0,28.1029,653.000000,141.000000,1.327966,-1,0
44,463.000000,159.000000,26.000000,1.000000,8,6,1713.000000,1713.000000,622.000000,25,65.190346,0,29.0725,603.000000,147.000000,2.260367,-1,0
46,511.000000,124.000000,24.000000,1.000000,8,5,2666.000000,2666.000000,636.000000,26,69.739334,0,29.9106,653.000000,155.000000,4.548989,-1,0
48,536.000000,95.000000,23.500000,1.000000,8,4,3829.000000,3829.000000,632.000000,27,77.791893,0,30.8637,702.000000,147.000000,8.052558,-1,0
50,531.000000,119.000000,29.500000,3.000000,8,4,1359.000000,1359.000000,650.000000,28,80.702115,0,31.4652,602.000000,146.000000,2.910223,-1,0
51,517.000000,168.000000,27.833333,3.000000,8,6,1680.000000,1680.000000,686.000000,29,82.962482,0,32.1,452.000000,149.000000,2.260367,-1,0
53,431.000000,198.000000,28.142857,16.000000,8,7,2124.000000,2124.000000,629.000000,30,85.392377,0,33.0881,653.000000,161.000000,2.429895,-1,0
55,409.000000,222.000000,27.125000,2.000000,8,8,2151.000000,2151.000000,631.000000,31,87.850526,0,34.0182,654.000000,151.000000,2.458149,-1,0
57,407.000000,223.000000,27.500000,2.000000,8,8,1545.000000,1545.000000,631.000000,32,89.065474,0,34.9608,753.000000,156.000000,1.214947,-1,0
59,408.000000,209.000000,25.750000,2.000000,8,8,1573.000000,1573.000000,618.000000,33,90.139148,0,35.6774,502.000000,155.000000,1.073674,-1,0
61,397.000000,207.000000,25.250000,1.000000,8,8,601.000000,601.000000,605.000000,34,90.506458,0,36.5658,701.000000,151.000000,0.367310,-1,0
